university,ranking
Northeastern University (Shenyang),53.2
Oregon Health and Science University,34.0
Oregon State University,33.0
Osaka University,49.4
Peking Union Medical College,51.1
Polytechnic University of Milan,39.0
Queen Mary University of London,40.7
Queen's University,35.2
Queensland University of Technology,38.4
Ruhr University Bochum,36.5
RWTH Aachen University,44.8
Shanghai University,48.7
Swinburne University of Technology,29.0
Technical University of Berlin,31.0
Tel Aviv University,50.4
Texas A&M University,50.6
The University of Auckland,41.6
Tohoku University,48.7
Trinity College Dublin,34.3
TU Dresden,42.7
Ulsan National Institute of Science and Technology,23.8
University of Massachusetts Chan Medical School,22.6
National Autonomous University of Mexico,51.8
University of Science and Technology Beijing,52.9
University of Aberdeen,28.4
University of Bergen,37.3
University of Bologna,54.5
University of Bordeaux,38.1
University of Buenos Aires,32.0
"University of California, Riverside",32.2
University of Cape Town,37.5
University of Colorado at Denver,48.1
University of Delaware,31.1
University of East Anglia,28.3
University of Erlangen-Nuremberg,39.5
University of Hamburg,38.6
University of Houston,38.4
University of Innsbruck,27.9
University of Leipzig,35.3
University of Lisbon,51.1
University of Lorraine,35.1
University of Manitoba,35.2
University of Massachusetts Amherst,35.1
University of Missouri - Columbia,36.2
University of Naples Federico II,50.1
University of Ottawa,46.3
University of Padua,54.4
University of Porto,47.5
University of Sussex,29.4
University of Technology Sydney,40.4
University of Tennessee - Knoxville,39.2
University of Tsukuba,37.6
University of Turin,45.4
University of Valencia,45.7
University of Virginia,44.1
University of Wuerzburg,34.3
Virginia Commonwealth University,34.7
Virginia Polytechnic Institute and State University,41.0
Western University,44.2
Wuhan University of Technology,46.8
Yonsei University,57.6
Albert Einstein College of Medicine,28.1
Anhui University,37.5
Autonomous University of Barcelona,44.9
Autonomous University of Madrid,39.2
Beijing University of Technology,46.7
Ben-Gurion University of the Negev,34.6
Brandeis University,17.6
Cairo University,43.2
Charles University in Prague,45.9
China University of Geosciences Beijing,36.4
China University of Petroleum (East China),40.8
Complutense University of Madrid,46.5
Dalhousie University,34.6
Dartmouth College,28.2
Durham University,36.0
East China University of Science and Technology,42.1
Ecole Normale Superieure - Lyon,22.1
Florida State University,36.3
Guangdong University of Technology,44.2
Guangxi University,45.7
Hanyang University,42.1
Huazhong Agricultural University,39.0
Indiana University-Purdue University at Indianapolis,39.7
Institut Polytechnique de Paris,27.2
James Cook University,24.8
Jiangnan University,47.4
Keio University,35.0
La Trobe University,34.9
Lancaster University,31.3
Laval University,39.1
Linkoping University,34.5
Nanjing Agricultural University,40.8
NanJing Tech University,41.5
Nanjing University of Information Science & Technology,42.0
Nanjing University of Science and Technology,46.9
Northwest A&F University,41.8
Northwest University,36.6
Ocean University of China,44.7
Paul Sabatier University (Toulouse 3),34.5
Pohang University of Science and Technology,29.0
Pompeu Fabra University,27.8
Princess Nourah bint Abdulrahman University,44.6
Qingdao University,48.1
Queen's University Belfast,32.8
Renmin University of China,36.6
RMIT University,38.1
University of Shanghai for Science and Technology,37.0
ShanghaiTech University,27.6
Simon Fraser University,32.1
Southern Medical University,49.0
Stony Brook University,34.9
Swedish University of Agricultural Sciences,29.1
The George Washington University,36.7
Toulouse Capitole University,11.8
National and Kapodistrian University of Athens,39.5
The University of Texas Health Science Center at Houston,32.3
University College Cork,25.8
University College Dublin,38.5
University of Antwerp,37.6
University of Cincinnati,41.8
University of Connecticut,34.8
University of Duisburg-Essen,33.3
University of Florence,41.5
University of Genoa,36.7
University of Granada,43.4
University of Hawaii at Manoa,33.0
University of Illinois at Chicago,41.7
University of Iowa,41.4
University of Jena,30.7
University of Kansas,38.0
University of Kentucky,39.2
University of Leicester,33.2
University of Liege,31.2
University of Lille,39.2
University of Macau,39.6
University of Marburg,27.7
"University of Maryland, Baltimore",37.1
University of Miami,41.2
University of Milano-Bicocca,37.5
University of Nebraska - Lincoln,31.7
University of Notre Dame,29.9
University of Potsdam,30.6
University of Regensburg,24.6
University of South Florida,38.6
University of Southern Denmark,41.2
University of St Andrews,25.6
University of Stuttgart,26.5
University of Tasmania,31.0
University of the Basque Country,38.6
University of the Witwatersrand,37.1
University of Trento,31.6
University of Ulm,29.1
University of Victoria,30.5
University of Wollongong,33.6
University of York,34.7
Vienna University of Technology,27.0
Vrije Universiteit Brussel (VUB),32.7
Western Sydney University,32.0
Yangzhou University,46.8
Zhejiang University of Technology,43.3
Aalborg University,37.5
Aalto University,31.7
Bar-Ilan University,29.6
Chalmers University of Technology,30.3
China Medical University (Taichung),38.3
China University of Mining and Technology,45.1
CUNY Graduate School and University Center,23.4
Drexel University,28.6
Eindhoven University of Technology,31.9
Flinders University,31.3
Guangzhou Medical University,37.1
Guangzhou University,39.5
Hainan University,40.2
Hannover Medical School,28.3
Hefei University of Technology,42.5
Henan University,36.8
Hohai University,46.5
Indian Institute of Science,43.3
Istanbul University,38.7
Jagiellonian University,37.8
King Khalid University,45.8
Kunming University of Science and Technology,42.6
Kyung Hee University,41.4
Kyungpook National University,37.5
Leibniz University Hannover,27.6
Louisiana State University - Baton Rouge,31.9
Macau University of Science and Technology,29.4
Masaryk University,30.1
Nanjing Forestry University,45.1
Nanjing Normal University,38.3
Nanjing University of Posts and Telecommunications,35.3
National Cheng Kung University,38.4
National Tsing Hua University,29.8
National Yang Ming Chiao Tung University,43.0
National University of Defense Technology,38.2
Ningbo University,44.9
Okinawa Institute of Science and Technology Graduate University,14.4
Polytechnic University of Valencia,32.9
Pusan National University,37.8
Saarland University,25.9
Saint Petersburg State University,32.9
São Paulo State University,43.2
South China Agricultural University,38.2
Southwest Jiaotong University,48.9
"University at Buffalo, the State University of New York",36.3
Stellenbosch University,32.7
Taif University,31.7
Technical University Darmstadt,28.2
Tehran University of Medical Sciences,37.0
Temple University,32.2
Texas Tech University,33.2
The University of Dundee,21.6
The University of Georgia,42.3
"The University of Newcastle, Australia",33.1
The University of Reading,27.7
Catholic University of the Sacred Heart,35.9
Federal University of Rio Grande do Sul,37.0
University of South Carolina - Columbia,35.0
The University of Texas Medical Branch at Galveston,22.4
University of Alabama at Birmingham,41.5
University of Aveiro,30.4
University of Bari,35.6
University of Bayreuth,22.9
University of Belgrade,43.2
University of Campinas,40.7
University of Canterbury,24.5
University of Catania,31.1
University of Central Florida,31.9
University of Chile,33.3
University of Côte d'Azur,29.6
University of Halle-Wittenberg,24.3
University of Johannesburg,36.2
University of Kent,24.3
University of Malaya,37.0
University of Oregon,26.9
University of Otago,33.1
University of Oulu,31.7
University of Pavia,34.5
University of Rennes,31.6
University of Roma - Tor Vergata,36.1
University of Saskatchewan,31.5
University of Seville,38.7
University of South Australia,28.0
University of Surrey,32.2
University of Szeged,23.3
University of Tehran,42.5
University of Turku,36.1
University of Twente,31.6
University of Ulsan,33.8
University of Vermont,26.1
University of Warsaw,33.7
University of Zagreb,36.4
The University of Texas Health Science Center at San Antonio,24.1
Utah State University,26.1
Victoria University of Wellington,25.5
Vita-Salute San Raffaele University,22.9
Washington State University,28.2
Xidian University,44.0
York University,32.7
Yunnan University,37.6
Anhui Medical University,39.9
Aristotle University of Thessaloniki,36.5
Auburn University,32.2
Baylor University,26.0
Beijing Jiaotong University,40.4
Beijing University of Posts and Telecommunications,35.6
Binghamton University,19.1
Boston College,24.1
Carleton University,29.6
Central China Normal University,32.3
Changzhou University,30.8
"The Chinese University of Hong Kong, Shenzhen",24.0
Chongqing Medical University,41.8
Chonnam National University,33.9
Donghua University,33.6
Eotvos Lorand University,28.4
Federal University of Minas Gerais,38.0
Federal University of Rio de Janeiro,37.8
Florida International University,30.6
Fujian Medical University,40.1
Georgetown University,32.3
Georgia State University,28.9
Guizhou University,43.9
Hangzhou Dianzi University,32.1
Harbin Engineering University,38.4
Hebei University of Technology,36.1
Hiroshima University,36.1
Iowa State University,35.5
Kansas State University,27.0
Kobe University,31.1
Lebanese American University,33.1
Medical University of Graz,24.0
Medical University of Innsbruck,22.0
Medical University of South Carolina,28.4
Mississippi State University,25.7
Moscow Institute of Physics and Technology,26.5
Murdoch University,23.2
Nanjing University of Chinese Medicine,31.0
Northern Arizona University,18.6
Okayama University,27.5
Oklahoma State University,29.0
Osaka Metropolitan University,27.7
Qatar University,30.2
Rensselaer Polytechnic Institute,16.7
Rush University,25.6
Saint Louis University,22.3
San Diego State University,26.6
Sejong University,31.2
Shaanxi Normal University,33.2
Shandong University of Science and Technology,37.5
South China Normal University,37.3
Southwest University,44.1
Swansea University,27.5
Tampere University,33.1
The City College of New York,16.5
The University of Texas at Dallas,26.3
Tianjin Medical University,36.9
Tokyo Medical and Dental University,27.2
Tulane University,29.2
Umea University,31.5
The University of New Mexico - Albuquerque,32.9
University of Arkansas at Fayetteville,27.5
University of Bath,30.5
University of Bremen,27.2
University of California-Merced,19.7
University of Coimbra,36.9
University of Essex,25.2
University of Fribourg,21.8
University of Giessen,28.1
University of Guelph,29.8
University of Konstanz,22.3
University of KwaZulu-Natal,31.4
University of La Laguna,25.1
University of Ljubljana,36.4
University of Maine,17.4
University of Minho,30.2
University of Murcia,27.7
University of Nantes,29.9
University of Navarra,25.8
University of North Texas,28.8
University of Oklahoma - Norman,29.2
University of Parma,27.3
University of Perugia,29.4
University of Pretoria,32.0
University of Rostock,22.6
University of Salamanca,28.3
University of Santiago Compostela,31.1
University of Strathclyde,29.3
University of Tromso,29.0
University of Verona,27.9
University of Zaragoza,32.9
Vellore Institute of Technology,38.6
Vilnius University,25.8
